epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,784.765,1.54201,0.72263,0.86435,0.86209,0.59973,0.69523,0.31628,1.62097,0.78046,0.87879,0.000636625,0.000636625,0.000636625
89,793.635,1.55012,0.72552,0.85847,0.88748,0.60867,0.68709,0.30619,1.66669,0.83519,0.88259,0.000619932,0.000619932,0.000619932
90,802.536,1.53515,0.72459,0.86181,0.73307,0.66928,0.7097,0.29431,1.63793,0.78958,0.88078,0.000603336,0.000603336,0.000603336
91,811.384,1.52151,0.7158,0.86183,0.83368,0.7077,0.72942,0.31619,1.62203,0.77954,0.87871,0.000586845,0.000586845,0.000586845
92,820.193,1.54276,0.72217,0.86667,0.85969,0.58458,0.70276,0.31397,1.61913,0.79417,0.87966,0.000570466,0.000570466,0.000570466
93,829.009,1.52428,0.71522,0.86616,0.67502,0.58801,0.68195,0.31036,1.62914,0.8126,0.8803,0.000554206,0.000554206,0.000554206
94,837.819,1.5482,0.7224,0.85885,0.90053,0.55889,0.68223,0.3101,1.61813,0.7891,0.88168,0.000538072,0.000538072,0.000538072
95,846.659,1.51888,0.70574,0.86482,0.71999,0.61973,0.69407,0.31175,1.62653,0.77767,0.88531,0.000522071,0.000522071,0.000522071
96,855.538,1.51122,0.69494,0.85738,0.93199,0.70566,0.74274,0.32138,1.62976,0.78713,0.87758,0.00050621,0.00050621,0.00050621
97,864.604,1.50157,0.70865,0.85159,0.84369,0.66829,0.7222,0.31748,1.64031,0.78443,0.88273,0.000490497,0.000490497,0.000490497
98,873.464,1.52241,0.69018,0.86287,0.86923,0.56603,0.69274,0.30114,1.65754,0.79807,0.88011,0.000474938,0.000474938,0.000474938
99,882.298,1.50729,0.70154,0.86159,0.75106,0.71658,0.71884,0.31531,1.63887,0.78134,0.87948,0.000459539,0.000459539,0.000459539
100,891.187,1.49312,0.68701,0.86083,0.85173,0.58945,0.69714,0.30207,1.60796,0.76843,0.87781,0.000444309,0.000444309,0.000444309
101,899.999,1.49081,0.6931,0.86102,0.86438,0.54879,0.6998,0.31597,1.63145,0.77913,0.88008,0.000429252,0.000429252,0.000429252
102,908.88,1.47798,0.67736,0.85093,0.83827,0.56947,0.69666,0.31585,1.6215,0.77615,0.88062,0.000414377,0.000414377,0.000414377
103,917.736,1.49825,0.6872,0.85569,0.79078,0.59037,0.69304,0.31812,1.61899,0.78118,0.87549,0.000399689,0.000399689,0.000399689
104,926.624,1.47,0.67138,0.85161,0.76481,0.71039,0.71394,0.32035,1.62227,0.79224,0.88104,0.000385196,0.000385196,0.000385196
105,935.562,1.4604,0.66732,0.85496,0.71051,0.71722,0.71292,0.336,1.63467,0.75693,0.87862,0.000370902,0.000370902,0.000370902
106,944.674,1.47856,0.67968,0.85459,0.78682,0.6017,0.7005,0.33044,1.61302,0.77349,0.87914,0.000356815,0.000356815,0.000356815
107,953.504,1.46631,0.66906,0.84933,0.73259,0.62096,0.69665,0.31721,1.62647,0.76962,0.87808,0.000342941,0.000342941,0.000342941
108,962.347,1.46616,0.67204,0.86039,0.73157,0.57368,0.69178,0.32227,1.64884,0.78012,0.88107,0.000329286,0.000329286,0.000329286
109,971.18,1.47087,0.67915,0.85672,0.85427,0.55761,0.68205,0.32295,1.61239,0.77816,0.87579,0.000315855,0.000315855,0.000315855
110,980.08,1.45794,0.66304,0.85156,0.74429,0.6073,0.68313,0.33903,1.63573,0.77273,0.88081,0.000302655,0.000302655,0.000302655
111,988.943,1.46566,0.67011,0.85248,0.83802,0.66799,0.7446,0.33249,1.624,0.77794,0.88052,0.000289692,0.000289692,0.000289692
112,998.02,1.45914,0.65513,0.85265,0.85371,0.5519,0.6908,0.33134,1.60352,0.75774,0.88086,0.000276971,0.000276971,0.000276971
113,1006.88,1.44352,0.65208,0.85925,0.96986,0.66328,0.74886,0.33819,1.62803,0.7653,0.88122,0.000264497,0.000264497,0.000264497
114,1015.96,1.46095,0.65338,0.85778,0.83928,0.6607,0.73008,0.34246,1.61477,0.76181,0.88011,0.000252277,0.000252277,0.000252277
115,1025.08,1.43161,0.66111,0.84279,0.92907,0.65009,0.7456,0.34821,1.59706,0.75559,0.87834,0.000240316,0.000240316,0.000240316
116,1034.09,1.41322,0.63499,0.85341,0.79628,0.61185,0.68371,0.32434,1.61036,0.7558,0.8809,0.000228618,0.000228618,0.000228618
117,1042.94,1.44562,0.65085,0.84958,0.78225,0.60812,0.70498,0.33541,1.61248,0.75408,0.8797,0.000217189,0.000217189,0.000217189
118,1051.76,1.44751,0.65394,0.84835,0.80212,0.60855,0.69268,0.34708,1.60819,0.76345,0.87773,0.000206034,0.000206034,0.000206034
119,1060.61,1.44437,0.64616,0.8543,0.75295,0.61059,0.69195,0.31348,1.59485,0.74957,0.87734,0.000195159,0.000195159,0.000195159
120,1069.43,1.42281,0.63614,0.85563,0.76049,0.58886,0.62087,0.31371,1.60668,0.7528,0.88118,0.000184566,0.000184566,0.000184566
121,1078.24,1.43078,0.64121,0.8511,0.73086,0.62567,0.68682,0.33404,1.60627,0.74777,0.88232,0.000174262,0.000174262,0.000174262
122,1087.14,1.42863,0.64278,0.84759,0.73075,0.61757,0.683,0.33217,1.60388,0.75336,0.88094,0.000164251,0.000164251,0.000164251
123,1095.96,1.41786,0.6435,0.84987,0.73234,0.62304,0.67455,0.31463,1.59667,0.75006,0.87807,0.000154538,0.000154538,0.000154538
124,1104.95,1.40907,0.63723,0.85118,0.73999,0.62577,0.67478,0.32387,1.60585,0.75037,0.87937,0.000145125,0.000145125,0.000145125
125,1113.72,1.42258,0.63569,0.85477,0.74674,0.62049,0.68674,0.33618,1.60273,0.73683,0.87923,0.000136018,0.000136018,0.000136018
126,1122.59,1.41235,0.63223,0.84864,0.73558,0.62494,0.68756,0.32985,1.60241,0.73444,0.88061,0.000127221,0.000127221,0.000127221
127,1131.45,1.41854,0.63263,0.84602,0.74316,0.62353,0.69647,0.32785,1.60082,0.73742,0.88024,0.000118737,0.000118737,0.000118737
128,1140.32,1.40566,0.62397,0.84691,0.7187,0.63139,0.69619,0.32569,1.60253,0.73815,0.87986,0.000110571,0.000110571,0.000110571
129,1149.19,1.41301,0.63927,0.84931,0.76296,0.5847,0.68794,0.32517,1.59091,0.73905,0.87738,0.000102725,0.000102725,0.000102725
130,1158.01,1.40639,0.6303,0.84587,0.72824,0.63646,0.70159,0.32448,1.60377,0.74713,0.87903,9.52034e-05,9.52034e-05,9.52034e-05
131,1166.9,1.39833,0.62953,0.84805,0.72371,0.63381,0.67752,0.32874,1.59604,0.73742,0.87834,8.80093e-05,8.80093e-05,8.80093e-05
132,1175.71,1.39668,0.64174,0.84809,0.7145,0.63817,0.68743,0.33702,1.60889,0.738,0.87896,8.11458e-05,8.11458e-05,8.11458e-05
133,1184.58,1.38514,0.61691,0.84557,0.72815,0.62439,0.69001,0.33786,1.60736,0.73631,0.87809,7.4616e-05,7.4616e-05,7.4616e-05
134,1193.44,1.38754,0.61727,0.84452,0.72149,0.63338,0.69461,0.3393,1.60781,0.74381,0.87892,6.84227e-05,6.84227e-05,6.84227e-05
135,1202.36,1.39051,0.61284,0.84504,0.73689,0.62396,0.68954,0.33769,1.59521,0.733,0.87803,6.25687e-05,6.25687e-05,6.25687e-05
136,1211.17,1.37089,0.61369,0.83976,0.87013,0.56595,0.6897,0.33818,1.60058,0.7394,0.87714,5.70564e-05,5.70564e-05,5.70564e-05
137,1220.09,1.37987,0.61492,0.84699,0.7319,0.62669,0.68736,0.34007,1.60834,0.73872,0.87862,5.18885e-05,5.18885e-05,5.18885e-05
138,1228.96,1.38368,0.61519,0.84774,0.72361,0.63177,0.68726,0.33053,1.59582,0.73427,0.87763,4.7067e-05,4.7067e-05,4.7067e-05
139,1237.86,1.38334,0.62025,0.84869,0.73403,0.62935,0.6905,0.34089,1.59635,0.73903,0.87724,4.25941e-05,4.25941e-05,4.25941e-05
140,1246.64,1.39012,0.61594,0.84614,0.73317,0.63338,0.69439,0.34966,1.59849,0.73818,0.87781,3.84718e-05,3.84718e-05,3.84718e-05
