epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,627.93,1.43689,0.6754,0.87733,0.89419,0.64732,0.71456,0.33924,1.56296,0.76271,0.91659,0.000893648,0.000893648,0.000893648
146,632.458,1.42627,0.66579,0.87571,0.86758,0.63552,0.70844,0.34391,1.58662,0.7634,0.92061,0.000885021,0.000885021,0.000885021
147,636.729,1.43208,0.67087,0.8788,0.82641,0.61883,0.70713,0.33624,1.57704,0.76093,0.91764,0.000876389,0.000876389,0.000876389
148,641.08,1.43293,0.66552,0.87701,0.8001,0.62457,0.70588,0.33259,1.56766,0.774,0.91684,0.000867754,0.000867754,0.000867754
149,645.338,1.43381,0.66548,0.87506,0.87308,0.62054,0.69504,0.34749,1.56592,0.76143,0.92045,0.000859116,0.000859116,0.000859116
150,649.816,1.41362,0.65628,0.87401,0.81764,0.61652,0.69774,0.36572,1.57614,0.75689,0.92188,0.000850476,0.000850476,0.000850476
151,654.27,1.41931,0.66052,0.87227,0.89357,0.62182,0.70162,0.34014,1.55705,0.74867,0.91829,0.000841835,0.000841835,0.000841835
152,658.491,1.43001,0.67225,0.87295,0.93052,0.72376,0.75332,0.36125,1.57831,0.76465,0.91673,0.000833194,0.000833194,0.000833194
153,662.987,1.40336,0.6568,0.87524,0.85071,0.6971,0.73745,0.34532,1.57653,0.75928,0.91568,0.000824554,0.000824554,0.000824554
154,667.423,1.41028,0.65442,0.87757,0.8101,0.62573,0.70909,0.34165,1.56819,0.75379,0.9168,0.000815916,0.000815916,0.000815916
155,671.634,1.40349,0.65506,0.87119,0.83238,0.72541,0.73934,0.36616,1.54916,0.74966,0.91308,0.000807281,0.000807281,0.000807281
156,676.167,1.41527,0.65499,0.87221,0.76201,0.72022,0.73465,0.35637,1.58398,0.76427,0.92088,0.000798649,0.000798649,0.000798649
157,680.65,1.39919,0.654,0.87183,0.8839,0.63124,0.70147,0.35701,1.57245,0.75126,0.9184,0.000790022,0.000790022,0.000790022
158,685.146,1.3898,0.65338,0.87105,0.87884,0.64494,0.67699,0.3503,1.59516,0.76283,0.92099,0.000781401,0.000781401,0.000781401
159,689.643,1.40952,0.65651,0.87162,0.85029,0.62995,0.68439,0.3545,1.56392,0.75115,0.91647,0.000772787,0.000772787,0.000772787
